Dataset,Data,Frequency,unique_id,Horizon,stationarity,heteroskedasticity,NBEATS,NLinear,KAN,MLP,DLinear,SeasonalNaive,ADE,ADE(UID),MLpol,MLpol(UID),MLewa,MLewa(UID),MLprod,MLprod(UID),BOA,BOA(UID),OGD,OGD(UID),FS,FS(UID),Ridge,Ridge(UID),LossOnTrain,LossOnTrain(UID),BestOnTrain,BestOnTrain(UID),EqAverage,EqAverage(UID),Windowing,Windowing(UID),BLAST,BLAST(UID)
monash_m1_monthly,m1,Monthly,T000000,overall,Non-stationary,Heteroskedastic,0.698010457856017,0.993519683199353,1.3131647394238617,1.5971953967730135,2.0406427458388245,1.4139696210552721,1.162061524903545,1.162061524903545,1.376110793233711,1.4511445652738761,1.3141299476978614,1.4288052613926936,1.3409267250141306,1.3994605259102388,1.3448742178413509,1.4159035354175744,1.2525212256822078,1.3737218677537952,1.0778432800413908,2.0406427458388245,1.297647445776481,1.2925400178593112,1.2077760087973064,1.2077760087973064,1.3131647394238617,1.3131647394238617,1.184391632116227,1.184391632116227,1.4476078551652871,1.6881147445080757,0.698010457856017,2.0406427458388245
monash_m1_monthly,m1,Monthly,T000001,overall,Non-stationary,Heteroskedastic,1.0849183239538045,1.6684517703289996,0.7250148244296362,3.0918840025960015,3.519971688244154,2.539647935030891,0.7219255371837259,1.0234241102879043,1.249553534582285,0.2512770687738292,0.8357737576702984,0.5681291089938691,1.0083650756290137,0.8355229797210375,1.097128643870369,0.6391158003658833,1.832589548876108,1.2622214433817525,1.2251391496570663,1.0849183239538045,0.8510519981566544,0.4951615079903557,0.8132965441894241,1.1226984311772972,0.7250148244296362,1.0849183239538045,0.9106601676906113,1.2251391496570663,0.6203649840593023,0.3854439110990117,1.0849183239538045,1.0849183239538045
monash_m1_monthly,m1,Monthly,T000002,overall,Non-stationary,Heteroskedastic,3.290519386923421,1.8724257568293776,2.2527028907299598,1.9984717550380648,2.189700823555754,2.7575459023734883,2.5518178372939397,2.5518178372939397,2.1963609208287003,2.4806988973229416,2.2637474186286606,2.4565744327171584,2.233882923351043,2.520181479939938,2.236826773424381,2.47786549260254,2.0090061119323264,2.0039274783401244,2.3871389662636204,2.041200134199134,2.213074847999805,2.399420826455931,2.5041567284582755,2.5041567284582755,2.2527028907299598,2.2527028907299598,2.513898010897148,2.513898010897148,2.420903044472832,2.420903044472832,3.290519386923421,2.2527028907299598
monash_m1_monthly,m1,Monthly,T000003,overall,Stationary,Heteroskedastic,0.5266277930601806,0.7150754736204284,1.6451303052726969,2.4437458724107053,2.3962275388896934,2.6539635045498664,1.4279867829566468,0.8451019112326807,1.8221171803220941,0.8360692798466062,1.6644244595280806,0.7740745080423436,1.7315839999027152,0.7614624397165782,1.751701492879117,0.7605336949132735,1.3877492189823035,1.2027153029435,1.121898075310965,0.5664446672336627,1.562230684239742,1.1491882320907014,1.4660561618493853,0.8565290711330734,1.6451303052726969,0.5266277930601806,1.4862388684229808,0.8556928862649628,1.3996335798701,0.9988738686930453,0.5266277930601806,0.7150754736204284
monash_m1_monthly,m1,Monthly,T000004,overall,Stationary,Homoskedastic,0.7263597250145196,0.9378796988786136,0.4910496068444807,0.7665547737121923,0.8669693215833448,1.6122838761560117,0.6476040337398716,0.6476040337398716,0.5521062660811927,0.6352299018163781,0.5156750504712669,0.618719279253931,0.5299722663475381,0.5873704156898623,0.5466861663349255,0.6051091099993001,0.7706692224751687,0.7611652673764171,0.8053847201745371,0.49143446431352994,0.5346696666482081,0.5154177137327618,0.6534862375596783,0.6534862375596783,0.4910496068444807,0.4910496068444807,0.6564413561631592,0.6564413561631592,0.6389861098032318,0.6547014155676246,0.7263597250145196,0.4910496068444807
monash_m1_monthly,m1,Monthly,T000005,overall,Stationary,Heteroskedastic,3.5931809886272053,3.3890569475538044,1.917976681293096,1.8763574281364737,2.162203434225844,1.1260260887734694,2.29801290354003,2.657817097829262,1.8988978513241113,3.5931809886272053,1.941053646244614,3.4995300639233164,1.9213941956093465,3.3728993482722576,1.9329087298792558,3.330623908204632,2.2266995586196012,3.087889892583905,2.513169492452962,3.4895167567400085,1.961429983597918,3.2510780276816513,2.406518764631276,2.7543740914333052,1.917976681293096,3.5931809886272053,2.24338952170582,2.5978166074644538,2.6539384869227756,2.3204844038439205,3.5931809886272053,3.5931809886272053
monash_m1_monthly,m1,Monthly,T000006,overall,Stationary,Homoskedastic,1.590884595496829,1.6834257774197887,0.9291478461138374,1.1087148528136466,1.9402423861887386,1.4768795339579472,1.0403518812931607,1.0403518812931607,0.9565769884714745,1.0981877597515886,0.9445733380875484,1.233744880546941,0.9468892171001815,1.416298918336564,0.9565256382038597,1.3488948750993799,1.0184916711697205,0.9644318765335025,1.165316113442423,1.2684508858302261,0.9291836324159318,1.0996460200439298,1.0697993203026372,1.0697993203026372,0.9291478461138374,1.590884595496829,1.0669808220767554,1.0669808220767554,1.0707928133634377,1.0707928133634377,1.590884595496829,1.590884595496829
monash_m1_monthly,m1,Monthly,T000007,overall,Non-stationary,Homoskedastic,0.6279685799326388,0.4890640988485941,0.3962556183911647,0.40628295527531916,0.6718403383723662,0.36954648703689197,0.48467468799351615,0.48467468799351615,0.3979811727552942,0.500413128933409,0.4030847283824826,0.5373551467635124,0.40046088459061496,0.5004247252536806,0.4042691561221914,0.5061329399878635,0.40684808936081374,0.40667937458852227,0.4823033043523666,0.5121120991619017,0.39294952572174496,0.5223195737759221,0.4789123986600533,0.4789123986600533,0.3962556183911647,0.6279685799326388,0.476088671052975,0.476088671052975,0.5196181698954272,0.5003019638645438,0.6279685799326388,0.6279685799326388
monash_m1_monthly,m1,Monthly,T000008,overall,Stationary,Homoskedastic,5.828033098525845,5.521954375816383,2.414669103377496,1.7396844537227094,3.017902325993655,0.7564610934875909,3.481722762812121,4.480115240994876,2.26508095513136,5.566890159634258,2.46188937754005,5.6154722601424085,2.373763374930888,5.686434026904892,2.3913137455452946,5.716097049154387,3.374275226094517,4.864300645279042,4.188579157336568,5.552016614169211,2.6142199485988966,4.3015343272524715,3.7605394166903907,4.631768907352517,2.414669103377496,5.828033098525845,3.3274622185420166,4.413574040554829,5.032381781288857,4.677139457519965,5.828033098525845,5.828033098525845
monash_m1_monthly,m1,Monthly,T000009,overall,Stationary,Heteroskedastic,1.4264760070286262,1.7250079183255855,1.5379148631716306,1.7182944252911911,1.7369009868250331,0.7693973027276704,1.5528880424687552,1.5528880424687552,1.577890060670883,1.5760120490491372,1.5470765510994042,1.6270636985689508,1.5598739498155179,1.553500666507811,1.5670306528541689,1.5586732980760098,1.6738326988195489,1.6830920693505351,1.6232594502151343,1.6281046442314109,1.5577331552250573,1.5491827161225016,1.562221236415367,1.562221236415367,1.5379148631716306,1.7182944252911911,1.5608950984971492,1.5608950984971492,1.5773914411052288,1.5773914411052288,1.4264760070286262,1.7182944252911911
