unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,SeasonalNaive
T000000,1980-06-30,681447.9,920243.9,1121924.5,1277601.4,1482016.8,1179180.0
T000000,1980-07-31,886105.6,874055.5,1129836.5,1221279.0,1060532.1,1939450.0
T000000,1980-08-31,780765.5,1065296.2,1148692.5,1178927.6,1287602.5,630177.0
T000000,1980-09-30,747465.56,565140.7,1062970.4,1292598.6,1174779.2,913313.0
T000000,1980-10-31,911453.4,1136022.1,1125382.8,1275873.2,1791007.5,1617990.0
T000000,1980-11-30,824441.56,1002998.4,1175719.4,1313548.1,1398541.4,622073.0
T000001,1985-08-31,270.84955,233.72359,233.3652,165.14749,178.3,152.05
T000001,1985-09-30,292.25308,193.75298,234.4257,160.29974,199.5953,161.14
T000001,1985-10-31,266.45682,245.75783,239.43042,159.62877,31.70681,151.96
T000001,1985-11-30,287.1759,179.00749,234.47289,165.50223,278.1177,186.11
T000001,1985-12-31,311.47485,180.74954,231.70999,164.84386,36.86322,188.91
T000001,1986-01-31,308.66995,206.46791,236.49542,166.88155,229.61816,256.66
T000002,1987-01-31,919.44995,903.6495,862.9468,840.3501,746.22125,754.0
T000002,1987-02-28,938.94507,810.5245,864.17615,831.05896,865.18225,886.0
T000002,1987-03-31,905.7833,833.7304,859.758,828.11774,795.5808,833.0
T000002,1987-04-30,929.8458,788.96735,850.8381,841.21643,911.2161,859.0
T000002,1987-05-31,994.7544,845.025,867.5196,839.4082,748.91797,1006.0
T000002,1987-06-30,1005.99585,776.4583,850.5952,843.6596,898.44086,938.0
T000003,1982-02-28,4753.0693,4478.212,6160.8994,6844.8896,7226.0317,8202.0
T000003,1982-03-31,5036.7324,5454.778,6078.08,6668.7495,6128.692,7582.0
T000003,1982-04-30,4896.8994,4785.6035,6023.412,6527.703,7361.9883,6880.0
T000003,1982-05-31,4838.5493,5805.085,6012.9883,6883.4453,6501.365,6841.0
T000003,1982-06-30,5061.749,5493.261,6157.1836,6843.132,6039.6865,6618.0
T000003,1982-07-31,5084.6055,4625.8335,6034.114,6953.987,7210.953,5719.0
T000004,1986-12-31,44.10059,44.26213,43.655537,44.982265,45.08627,52.44
T000004,1987-01-31,44.881516,44.410965,43.298836,44.635,43.22399,48.63
T000004,1987-02-28,44.672413,42.105858,43.64732,44.40926,45.734768,45.67
T000004,1987-03-31,44.403866,46.479725,43.60786,45.106926,44.603687,49.56
T000004,1987-04-30,45.210106,45.763397,44.356373,44.954254,46.979076,44.56
T000004,1987-05-31,45.465332,45.287605,43.523052,45.261555,46.03372,46.32
T000005,1980-06-30,5053.213,6739.6274,3307.53,2986.3826,4538.443,3464.0
T000005,1980-07-31,5623.57,4207.975,3192.2183,2790.56,3512.054,2557.0
T000005,1980-08-31,5204.246,5646.8916,3442.8625,2773.5867,-761.49805,1927.0
T000005,1980-09-30,5305.385,5101.009,3108.094,3020.7246,2621.6213,984.0
T000005,1980-10-31,6042.7373,4322.3804,3144.346,2974.6543,4540.7104,699.0
T000005,1980-11-30,5689.7256,5929.659,3285.6082,3077.129,2016.664,708.0
T000006,1980-06-30,175402.4,201908.25,150889.77,139236.2,193767.92,139844.0
T000006,1980-07-31,185576.3,156299.3,144739.22,136007.81,168069.7,99098.0
T000006,1980-08-31,182583.08,192353.86,153644.83,135909.17,81387.625,123147.0
T000006,1980-09-30,185058.53,171433.98,145516.38,139712.88,128385.83,136589.0
T000006,1980-10-31,197750.78,173578.81,145684.42,139188.44,176830.66,109528.0
T000006,1980-11-30,189758.83,206371.28,145894.38,140530.6,125359.22,88284.0
T000007,1980-06-30,730.49927,805.3285,684.9122,667.53876,1157.0988,1109.0
T000007,1980-07-31,830.3253,715.5449,646.40765,660.8708,1071.6632,582.0
T000007,1980-08-31,787.0946,768.65314,665.7116,658.29034,464.4948,597.0
T000007,1980-09-30,819.42474,867.57275,674.88434,670.38873,811.1767,719.0
T000007,1980-10-31,930.82495,830.90796,680.48505,666.95624,609.8915,662.0
T000007,1980-11-30,911.84534,1040.6328,679.8628,672.0528,1021.7884,685.0
T000008,1980-06-30,11345.687,13701.437,7424.1436,6371.4067,11951.0625,12656.0
T000008,1980-07-31,12300.367,10076.096,7173.99,6073.2607,8834.839,6081.0
T000008,1980-08-31,11615.74,12200.01,7456.728,6008.903,-955.66846,5045.0
T000008,1980-09-30,11777.17,13414.384,7210.212,6455.947,8133.5674,5085.0
T000008,1980-10-31,13168.994,9406.608,7173.429,6343.6973,8211.96,3659.0
T000008,1980-11-30,12565.621,13603.069,7586.598,6532.4204,7320.386,3551.0
T000009,1987-05-31,4698.0327,3534.0552,4697.124,4551.9443,5223.4126,2863.0
