unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,SeasonalNaive
T000000,1993-08-31,5770.872,6151.202,3649.208,2651.792,10790.633,6611.115
T000000,1993-09-30,5785.342,7794.343,3519.8145,2866.1665,1093.5026,4150.2395
T000000,1993-10-31,5637.2607,4159.999,3243.7598,2814.4016,1437.9564,2841.0
T000000,1993-11-30,5301.7676,6864.164,2794.5479,2873.895,4221.997,1813.44
T000000,1993-12-31,5396.782,7382.3667,3242.1353,2959.995,-612.2324,2261.08
T000000,1994-01-31,4370.5737,5177.3857,3508.5225,2893.6716,2758.2437,1873.605
T000000,1994-02-28,5110.785,6356.753,3044.411,2838.4539,2760.3254,1772.84
T000000,1994-03-31,5467.8965,3541.9773,3308.568,2815.3015,-3678.781,2049.565
T000000,1994-04-30,5003.836,6418.1943,3334.8848,2830.9614,6274.838,2932.265
T000000,1994-05-31,5484.3794,6186.793,3062.7676,2748.5767,685.2361,3113.255
T000000,1994-06-30,5498.945,9467.23,3422.5396,2886.733,3244.8962,3461.505
T000000,1994-07-31,5843.964,7224.8623,3183.8904,2771.3604,3487.5803,6265.74
T000001,1993-08-31,178475.94,183508.02,131830.52,102827.96,336896.03,176215.2
T000001,1993-09-30,181233.42,208953.4,131012.42,107271.78,70965.97,160025.7
T000001,1993-10-31,176944.4,140995.7,128017.77,106307.96,52105.473,150995.5
T000001,1993-11-30,166869.97,206240.94,120128.96,107320.14,205132.47,112002.6
T000001,1993-12-31,167588.5,194468.7,126543.96,108954.82,-25734.46,85668.59
T000001,1994-01-31,147995.47,161420.11,132395.52,107926.94,166745.38,107283.1
T000001,1994-02-28,161366.22,202379.31,121045.94,106503.51,172989.36,86953.77
T000001,1994-03-31,168207.25,124391.52,129239.37,105953.75,-75791.164,95141.96
T000001,1994-04-30,157840.3,187979.72,126621.45,106301.17,237428.62,104902.6
T000001,1994-05-31,167653.64,180400.38,121508.27,105159.3,2572.0156,117794.5
T000001,1994-06-30,169497.66,239029.38,127380.61,107652.72,52611.85,139187.5
T000001,1994-07-31,178673.0,212138.5,123937.38,105356.13,58231.906,183571.9
T000002,2006-01-31,90929.56,97759.836,93791.57,84262.18,61066.61,89162.0
T000002,2006-02-28,91936.33,90426.02,94971.33,86842.555,98551.64,66728.0
T000002,2006-03-31,91313.7,80712.97,95781.805,86411.79,72062.17,104864.0
T000002,2006-04-30,91363.914,83060.73,94523.5,86753.875,54363.727,102253.0
T000002,2006-05-31,92795.29,83163.14,94329.06,87888.414,91556.53,91564.0
T000002,2006-06-30,88223.96,71582.625,94365.11,87291.41,57879.082,99782.0
T000002,2006-07-31,91873.65,107065.77,94350.33,86454.58,71600.07,100335.0
T000002,2006-08-31,94580.44,74274.266,96290.62,86063.336,110024.03,87455.0
T000002,2006-09-30,91181.625,85153.74,95336.68,86334.8,82867.72,87126.0
T000002,2006-10-31,96558.59,110918.63,95855.89,85742.51,134177.44,113382.0
T000002,2006-11-30,95318.36,126086.29,94546.27,87072.99,113373.62,109339.0
T000002,2006-12-31,95081.055,95400.17,96217.234,85788.08,104126.73,91099.0
T000003,2006-01-31,30233.742,32634.25,25345.209,21258.697,23546.498,25621.0
T000003,2006-02-28,30400.93,31955.79,25794.547,21987.223,22350.215,19333.0
T000003,2006-03-31,30078.742,25649.512,26179.385,21841.498,15105.1875,29124.0
T000003,2006-04-30,29618.777,29816.812,24979.352,21971.871,17781.852,26206.0
T000003,2006-05-31,30032.6,33347.6,25077.607,22298.602,16144.615,24662.0
T000003,2006-06-30,27581.201,23053.623,25570.818,22079.186,15264.305,20063.0
T000003,2006-07-31,29587.545,36122.4,25067.42,21877.037,17997.836,24784.0
T000003,2006-08-31,30631.29,21958.414,26111.92,21790.469,16466.404,23189.0
