unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y
T000000,1975-12-31,0.281102,0.14674126,0.038962923,0.64398694,-0.27621293,0.048771843,0.2803812,1.2474053,0.0,-9.622692e-05,697458.0
T000000,1976-01-31,697459.8,699197.25,737592.4,371133.7,697458.75,711722.94,405664.94,697458.94,697224.75,661233.5,1187650.0
T000000,1976-02-29,1214365.5,1106730.4,1111409.2,752375.75,1215988.5,983763.1,765848.7,1193533.6,188027.31,1132018.8,1069690.0
T000000,1976-03-31,1077849.4,1060690.8,1101563.1,937910.44,1131912.2,1173059.2,932782.5,1129866.2,278336.2,1015833.1,1078430.0
T000000,1976-04-30,1072596.1,1039601.25,1046258.2,1042211.6,1137975.4,1239328.8,1037437.0,1097719.5,375338.94,1019048.8,1059910.0
T000000,1976-05-31,1070054.5,1024306.7,1048598.8,935033.7,999263.1,1187176.2,900377.4,1089905.9,452426.25,990243.7,1058020.0
T000000,1976-06-30,1075932.0,1039320.94,1060602.0,1011075.1,967762.5,1132245.5,936667.75,1094594.6,504775.2,972896.3,512728.0
T000000,1976-07-31,830175.4,793223.75,889866.94,772899.25,821033.44,1077627.0,711206.56,958779.8,545819.06,437082.3,884901.0
T000000,1976-08-31,938407.4,979015.8,938386.7,816572.6,1015996.0,1076648.2,792622.25,915743.06,608901.8,763415.3,905529.0
T000000,1976-09-30,972116.25,880177.2,945147.5,758236.94,836260.0,1080913.0,692041.56,978717.44,713795.3,783095.8,617722.0
T000000,1976-10-31,866549.6,750382.4,716701.7,645149.3,751055.8,920490.7,588014.9,777530.7,727238.94,585284.06,410292.0
T000000,1976-11-30,658070.5,537366.75,616791.6,619269.9,607009.4,908277.2,519593.75,570731.1,774699.2,702943.4,854875.0
T000000,1976-12-31,988925.75,816615.2,858797.4,881709.3,867002.25,927796.75,1008983.9,879991.94,855759.94,888670.4,652371.0
T000000,1977-01-31,889517.44,842441.56,872617.44,945231.25,953440.4,886295.5,1001748.0,875270.0,847245.5,779557.4,937352.0
T000000,1977-02-28,954179.9,917494.2,841280.9,988002.56,947978.06,954851.56,1104631.8,950849.4,838225.6,990271.75,1513480.0
T000000,1977-03-31,1238521.9,1301969.2,1183908.1,1140311.9,1207845.5,1355509.4,1230829.8,1301734.2,901962.3,1423879.6,1138080.0
T000000,1977-04-30,1070750.5,1206099.0,1170430.0,1039970.75,1219268.5,1277107.6,1105125.2,1077496.8,901126.44,1107048.5,687150.0
T000000,1977-05-31,913604.44,910685.44,743414.1,981223.56,931977.75,868631.8,1007355.7,906343.1,848204.2,821987.0,1366120.0
T000000,1977-06-30,998755.6,726829.5,930701.25,978877.25,683228.2,965007.3,937343.8,920132.3,885690.94,1295267.5,1083180.0
T000000,1977-07-31,887688.56,1074852.8,1157191.0,1029575.75,1137420.2,1173052.6,987371.0,1082383.4,929439.44,1022648.7,1375330.0
T000000,1977-08-31,917732.2,1263441.1,1292214.2,1417579.1,1292226.9,1347955.6,1575111.0,1250568.5,960255.3,1309675.0,456139.0
T000000,1977-09-30,889847.56,782009.1,621012.56,742700.7,619835.6,724319.5,674495.44,608452.9,924633.9,519683.16,1243690.0
T000000,1977-10-31,871611.1,871098.44,926849.75,892933.25,559812.6,955209.06,848539.06,1152483.2,976362.06,1178604.6,922653.0
T000000,1977-11-30,1106206.2,1110548.0,1113024.2,970417.4,1146114.8,1142469.1,923599.56,1198483.4,1017913.1,908052.75,848388.0
T000000,1977-12-31,1113222.5,897141.5,928762.7,916902.75,1074399.5,1008676.75,1137247.1,904906.75,984655.8,953270.8,861378.0
T000000,1978-01-31,1060185.9,1058476.1,1107183.0,1167522.5,1190515.8,1144709.6,1360407.5,1235800.2,1040989.06,1011581.06,1459230.0
T000000,1978-02-28,1160538.8,1526769.5,1512359.0,1228372.0,1606705.4,1517521.5,1533203.0,1554314.0,1104424.6,1392413.2,1782530.0
T000000,1978-03-31,1350437.0,1612654.5,1436621.9,1493031.9,1418062.5,1557011.9,1409580.1,1445734.4,1108818.8,1699685.2,1331670.0
T000000,1978-04-30,1286486.6,1171693.0,1323654.6,1255436.8,1253073.8,1358933.0,1247158.9,983886.56,1137845.8,1332342.6,1672240.0
T000000,1978-05-31,1432934.4,1693106.5,1699323.5,1646145.4,1646986.8,1735516.5,1583327.5,1743124.1,1204420.8,1605913.9,1266130.0
