unique_id,ds,NBEATS,NHITS,MLP,TiDE,KAN,TFT,NLinear,DLinear,PatchTST,DeepNPTS,y,index,SeasonalNaive
T000000,1992-07-31,5614.234,5614.3975,5530.001,5706.722,5622.878,5615.6797,5593.9453,5650.02,5616.6816,5598.269,5481.6,0,5630.0
T000000,1992-10-31,5463.794,5472.935,5400.858,5618.577,5485.2583,5479.1777,5478.252,5617.347,5484.463,5575.2207,5511.55,2,5589.2
T000000,1993-01-31,5519.889,5521.024,5417.549,5654.491,5498.006,5507.1426,5510.25,5583.328,5516.069,5554.0796,5531.5,4,5551.25
T000001,1992-07-31,3477.937,3475.454,3462.4888,3346.78,3544.4802,3472.516,3416.3354,3395.212,3444.985,3369.1272,3638.4,10,3223.6
T000001,1992-10-31,3655.1252,3665.4802,3564.8875,3532.0105,3601.457,3711.9854,3634.9624,3563.8726,3652.8157,3504.3806,3629.4,12,3156.8
T000001,1993-01-31,3679.398,3694.3735,3677.4321,3553.9138,3758.4866,3690.2822,3643.1643,3658.9597,3685.5781,3578.3308,3799.2,14,3342.2
T000002,1992-07-31,5165.364,5177.897,5020.876,4837.138,5061.8174,5240.303,5084.6006,5012.286,5198.4927,4895.3296,5326.9,20,4235.5
T000002,1992-10-31,5457.381,5442.359,5364.4346,5122.546,5446.802,5504.2583,5352.9927,5239.2573,5525.5137,5176.452,5383.65,22,4541.31
T000002,1993-01-31,5453.396,5476.5938,5453.846,5269.231,5566.2,5490.9546,5409.9004,5395.215,5506.8555,5289.438,5405.5,24,4863.54
T000003,1992-07-31,5064.709,5079.7227,5018.365,5042.2314,5110.5386,5075.219,5020.755,5013.4595,5066.492,4954.666,5023.2,30,4958.0
T000003,1992-10-31,5019.105,5024.983,4913.0723,5040.721,4976.0654,4920.3433,5014.067,5088.17,4925.959,4938.99,4068.2,32,4834.0
T000003,1993-01-31,4211.4463,4175.646,4158.1465,4536.6953,4213.9653,4156.642,4078.5386,4636.4,4262.6577,4818.269,4713.0,34,4904.6
T000004,1992-07-31,3531.9194,3522.321,3455.77,3337.058,3509.0188,3533.1553,3451.855,3374.936,3537.407,3368.655,3671.11,40,3032.97
T000004,1992-10-31,3774.1665,3758.2734,3671.572,3508.5925,3722.5054,3794.7969,3679.491,3580.306,3775.5352,3579.8743,4044.29,42,3146.05
T000004,1993-01-31,4172.4595,4144.255,4001.4844,3786.0872,4044.186,4216.531,4052.581,3879.1274,4185.841,3893.8792,4536.47,44,3252.58
T000005,1992-07-31,8583.82,8633.704,8399.641,8577.285,8547.879,8567.88,8436.84,8362.964,8519.017,8218.434,8526.2,50,8270.8
T000005,1992-10-31,8606.601,8631.182,8545.734,8518.808,8703.006,8551.828,8531.34,8549.016,8653.486,8413.397,8112.2,52,8437.4
T000005,1993-01-31,8036.7856,8037.017,7864.043,8323.002,7963.1895,7979.085,8090.0137,8462.448,8011.599,8291.131,8202.2,54,8078.8
T000006,1992-04-30,8208.601,8212.553,8299.351,9111.708,8490.102,8257.225,8290.462,9017.387,8459.343,9321.353,8234.09,60,9913.57
T000006,1992-07-31,8208.009,8177.821,8009.3965,9094.396,8164.9775,8109.0366,8219.697,8468.349,8232.071,9093.104,8447.25,62,9650.0
T000006,1992-10-31,8403.187,8449.123,8472.43,8775.095,8578.48,8351.192,8413.3545,8458.959,8458.327,8931.12,8353.32,64,9425.0
T000007,1992-04-30,3410.1128,3414.6333,3347.107,3563.3599,3395.6543,3409.701,3397.1394,3479.2607,3442.8105,3510.2358,3391.0,70,3496.0
T000007,1992-07-31,3504.3906,3483.6782,3456.9175,3519.5757,3509.4949,3456.814,3400.7922,3432.4946,3492.0664,3482.6433,3427.0,72,3655.5
T000007,1992-10-31,3432.2637,3428.2256,3317.4248,3490.1643,3330.6333,3418.9878,3409.5078,3467.5642,3429.7634,3470.658,2893.0,74,3434.5
T000008,1992-07-31,6115.1816,6122.498,6073.2812,6028.7544,6198.3486,6106.784,6052.3213,6065.696,6091.4697,6002.506,5722.8,80,5824.7
T000008,1992-10-31,5742.175,5746.062,5648.083,5900.255,5742.025,5694.663,5724.952,5970.2065,5742.1177,5872.232,6080.4,82,5811.4
T000008,1993-01-31,6196.914,6224.482,6062.9277,6192.2397,6159.1826,6191.8013,6095.472,5987.765,6171.0596,5925.5625,6093.05,84,5974.85
T000009,1992-07-31,6822.8647,6838.252,6745.462,6882.5356,6882.819,6838.457,6752.533,6807.0776,6747.8315,6701.6646,6984.68,90,6749.64
T000009,1992-10-31,7037.788,7053.1294,6938.4375,7008.018,7045.797,7031.6514,6987.0205,6940.914,7014.0483,6842.1562,6820.5,92,6807.62
T000009,1993-01-31,6807.141,6809.872,6709.8467,6877.005,6811.797,6735.6235,6811.9746,6992.159,6758.424,6798.789,6729.34,94,6707.04
T000010,1992-07-31,5285.8594,5290.7285,5205.742,5332.9365,5295.2646,5276.4453,5262.9795,5315.0327,5271.275,5229.814,5395.45,100,5173.45
T000010,1992-10-31,5435.288,5445.6562,5361.6895,5418.3555,5450.996,5425.7354,5399.7627,5392.142,5415.61,5341.956,5475.2,102,5235.3
T000010,1993-01-31,5512.1484,5514.1553,5416.7036,5459.9194,5502.9414,5504.1626,5474.106,5499.9814,5490.49,5418.1553,5921.4,104,5228.5
T000011,1992-07-31,7721.7476,7706.285,7545.546,7345.435,7658.1367,7715.6167,7551.3013,7446.272,7714.3975,7389.6113,7466.9,110,6725.1
T000011,1992-10-31,7545.9634,7582.2446,7507.501,7404.9844,7665.096,7544.1094,7488.0986,7574.301,7544.8594,7374.0073,7497.4,112,6979.0
T000011,1993-01-31,7602.73,7612.78,7496.8047,7589.9126,7642.159,7568.514,7521.3096,7580.571,7529.4863,7394.3286,7543.4,114,7220.6
