unique_id,ds,NBEATS,NHITS,MLP,TiDE,KAN,TFT,NLinear,DLinear,PatchTST,DeepNPTS,SeasonalNaive
T000000,1993-12-31,7326.3354,7508.8696,9285.446,11430.408,7623.42,7314.9316,13808.293,11438.895,7247.131,10175.031,6915.52
T000000,1994-03-31,6013.56,5506.9746,7601.217,8046.778,7776.645,7180.051,8230.484,5809.6016,5701.632,11819.845,5696.01
T000000,1994-06-30,11329.906,11051.861,12693.258,10585.633,12642.258,11269.571,13688.762,13500.349,10046.152,12257.863,9507.025
T000000,1994-09-30,18645.146,18717.031,20724.324,9778.358,20679.25,19774.348,17286.03,17581.086,18383.73,11647.503,17469.63
T000001,1993-12-31,376052.7,381190.94,432292.84,436719.06,376988.1,361033.4,467507.3,421541.9,357684.7,392819.0,348666.69
T000001,1994-03-31,310744.56,295350.25,365114.97,364982.4,389213.84,327159.2,341745.7,307260.8,291637.62,420571.88,289378.83
T000001,1994-06-30,420159.88,407901.7,463031.94,415187.06,463688.9,398307.75,453523.94,452017.47,374980.38,432741.16,361884.6
T000001,1994-09-30,570812.6,578054.2,626706.8,406638.75,638378.1,589823.2,539645.06,559545.56,561239.44,426219.97,540909.5
T000002,2006-03-31,281489.47,288941.97,312678.66,311539.28,281516.66,271059.12,303009.12,301519.94,269988.53,294820.94,260754.0
T000002,2006-06-30,311215.28,310644.34,324987.0,284789.06,355211.66,299409.78,288781.97,299530.9,302376.22,294993.94,293599.0
T000002,2006-09-30,306756.94,303302.22,341793.94,317151.66,344340.44,285950.88,307818.3,324007.12,285219.6,290720.5,274916.0
T000002,2006-12-31,326878.22,327825.56,370981.62,322213.5,381769.34,327469.4,310159.88,325373.97,321112.5,292640.75,313820.0
T000003,2006-03-31,81803.39,83416.72,90549.72,88898.43,81661.45,77246.89,88361.06,83162.91,77782.055,79493.97,74078.0
T000003,2006-06-30,76358.36,75705.42,83411.44,75053.46,90142.28,76655.36,72835.33,71955.76,73666.0,81211.24,70931.0
T000003,2006-09-30,79119.0,77412.09,88812.625,85032.17,89081.26,72849.26,85666.6,86712.97,72845.77,79400.09,68004.0
T000003,2006-12-31,100414.96,101571.8,111216.195,86568.445,113883.67,100656.625,95205.58,98312.74,98663.99,80991.375,95829.0
T000004,2006-03-31,140525.56,142279.77,147762.19,132977.38,133979.19,128659.32,136522.0,134506.86,134284.55,131566.84,114837.0
T000004,2006-06-30,150177.94,152280.84,153804.28,133606.81,166243.66,141518.36,132742.89,137098.48,142622.12,132898.06,131353.0
T000004,2006-09-30,157110.2,157153.78,166730.73,139639.62,169471.75,145412.83,143255.16,153228.89,142955.98,135472.88,136027.0
T000004,2006-12-31,155079.48,156970.62,172451.6,141370.03,175245.12,148825.3,144817.3,147807.78,146756.98,136008.64,143360.0
T000005,2006-03-31,130613.53,133926.45,141286.77,132727.48,130046.07,130401.08,128405.44,123172.55,127902.875,119544.0,120415.0
T000005,2006-06-30,112394.65,111193.484,123439.57,118387.34,133881.4,110966.45,108290.83,110155.63,109855.41,120783.64,104971.0
T000005,2006-09-30,118716.06,116019.08,132169.84,126997.87,133531.06,108730.83,122039.7,122696.27,109734.7,122578.37,103051.0
